|   # | Company                                    | Lane                                                 | Fit               |
| --: | ------------------------------------------ | ---------------------------------------------------- | ----------------- |
|   1 | Waystar                                    | RCM / claims / payments                              | Best              |
|   2 | Inovalon                                   | payer/provider data + analytics                      | Best              |
|   3 | Zelis                                      | claims payments + payment integrity                  | Best              |
|   4 | FinThrive                                  | RCM / claims / clearinghouse                         | Best              |
|   5 | Experian Health                            | eligibility / claims / RCM                           | Best              |
|   6 | Edifecs                                    | payer interoperability / EDI / APIs                  | Best              |
|   7 | Cognizant TriZetto                         | payer core admin / claims                            | Best              |
|   8 | HealthEdge                                 | payer core admin / care management                   | Best              |
|   9 | Cotiviti                                   | payment accuracy / risk adjustment                   | Best              |
|  10 | MultiPlan                                  | payment integrity / payer-provider network           | Best              |
|  11 | R1 RCM                                     | enterprise RCM                                       | Best              |
|  12 | Ensemble Health Partners                   | hospital RCM                                         | Best              |
|  13 | Optum Insight                              | claims / analytics / RCM                             | Strong            |
|  14 | Change Healthcare / Optum                  | clearinghouse / claims / payment                     | Strong            |
|  15 | Evolent                                    | value-based care / payer ops                         | Strong            |
|  16 | Cohere Health                              | prior authorization                                  | Best              |
|  17 | Carelon                                    | payer services / utilization mgmt                    | Strong            |
|  18 | eviCore healthcare                         | prior auth / medical benefits mgmt                   | Strong            |
|  19 | MCG Health                                 | clinical guidelines / utilization                    | Strong            |
|  20 | InterQual / Optum                          | prior auth / utilization                             | Strong            |
|  21 | ZeOmega                                    | population health / care management                  | Best              |
|  22 | Medecision                                 | care management / payer workflows                    | Best              |
|  23 | Softheon                                   | health plan enrollment / ACA exchange                | Best              |
|  24 | Lyric                                      | payment accuracy / payer ops                         | Best              |
|  25 | Vatica Health                              | risk adjustment / payer-provider                     | Strong            |
|  26 | Reveleer                                   | risk adjustment / quality analytics                  | Best              |
|  27 | Apixio                                     | AI coding / risk adjustment                          | Strong            |
|  28 | HealthVerity                               | healthcare data exchange                             | Strong            |
|  29 | Datavant                                   | health data connectivity                             | Strong            |
|  30 | Komodo Health                              | healthcare data / analytics                          | Strong            |
|  31 | Clarify Health                             | payer/provider analytics                             | Strong            |
|  32 | Arcadia                                    | population health analytics                          | Best              |
|  33 | Innovaccer                                 | healthcare data platform                             | Strong            |
|  34 | Health Catalyst                            | provider analytics / data platform                   | Strong            |
|  35 | MedeAnalytics                              | payer/provider analytics                             | Best              |
|  36 | Milliman MedInsight                        | healthcare cost analytics                            | Strong            |
|  37 | Avaneer Health                             | payer-provider data network                          | Best              |
|  38 | CAQH                                       | provider data / credentialing / admin simplification | Best              |
|  39 | symplr                                     | provider operations / credentialing                  | Best              |
|  40 | Verisys                                    | provider credentialing / compliance                  | Strong            |
|  41 | Medallion                                  | provider network management                          | Strong            |
|  42 | Andros                                     | provider network management                          | Strong            |
|  43 | Modio Health                               | credentialing                                        | Strong            |
|  44 | QGenda                                     | provider scheduling / workforce                      | Strong            |
|  45 | Kyruus Health                              | provider search / access                             | Strong            |
